SPECIAL, 99999, JIMBO JO COFFCOFF, 30000 LBJ FREEWAY SOUTH, , SAN ANTONIO, TX, 75001, , 
PLACARD, 123456, , , , , , , , PLACARD
TEMPORARY, 00A2093, BROKEN ZIP, 100 W MAIN ST, , NOWHERE, TX, 76013, 02/28/2014, 
TEMPORARY, 11S1111, BADIDEAS, 112 ASTREET RD, , SOMEWHERE, TX, 75001, 09/02/2014, 
TEMPORARY, 11S2222, DONALD TRUMP, 599 FM 22 N, , SOMEWHERE, TX, 75001, 02/15/2014, 
STANDARD, 123456H, SOMEONE ELSE, 1731 ASTREET DR, , SOMEWHERE, TX, 75001, 11/21/2014, 
STANDARD, 123456T, ACTION COMMERCIAL SERVICES LLC, 4418 ST HWY 276, , CKWALL, TX, 75032, 02/18/2014, 
STANDARD, 1ABCD, DISABLED PERSON, 5699 WRANGLER DR, , SOMEWHERE, TX, 75035, 02/10/2014, 
DEALER, 1E1111, J LENO CARS LLC, 6000 DENTON HWY, , DENTON, TX, 75001, , 
STANDARD, 1E12345, YUMMY HOT DOGS, 4444 EAST 14TH STREET, , MYTOWN, TX, 75074, 01/29/2010, 
STANDARD, 1E44455, A REALLY LOOOOOONNNG NAME, ST 14TH STREET, , MYTOWN, TX, 75000, 01/29/2010, 
TEMPORARY, 20D2093, JAMES STOVER, 1008 W MAIN ST, , ARLINGTON, TX, 76013, 02/28/2014, 
TEMPORARY, 23L7777, JESSE JAMES, 1111 ROBBER ROAD, , FORT WORTH, TX, 75001, 12/06/2014, 
PERMIT, 334466G, TOM TOM, 531 N ASTREET, , SOMEWHERE, TX, 75001, 01/07/2014, 
STANDARD, 356529H, ACTION COMMERCIAL SERVICES LLC, P.O. BOX 1689, , ROCKWALL, TX, 75032, 02/18/2014, 
TEMPORARY, 55K0747, MARIO NINTENDO, 1234 GAME LN # A, , DALLAS, TX, 75001, 06/27/2014, 
SPECIAL, 56K0748, STEVEN JOBS, 410 I-27, , ATOWN, TX, 75001, , 
PERMIT, 562949G, CHRISTOPHER L ANDERSON, 1906 JUPITER RD, , PLANO, TX, 75074, 05/14/2014, 
DEALER, 5F1234, HONDA CARS OF IRELAND, 1550 E US ROUTE 130, , CORK, TX, 75000, , 
PERMIT, 654321F, MYOWN  NAME, 43211 NORTH POLE PKWY, , LITTLE ELM, TX, 75001, 02/07/2013, 
PERMIT, 654321G, NIM TEL, 33 ASTREET LN, , SOMEWHERE, TX, 75001, 02/21/2014, 
STANDARD, 654321H, SOMEONE ELSE, 374 ASTREET LN, , SOMEWHERE, TX, 75001, 09/11/2014, 
PERMIT, 736030F, F A M & SONS, 5902 MIMOSA LN, , ROWLETT, TX, 75089, 03/11/2013, 
TEMPORARY, 88K8888, SAMANTHA BEWITCHED, 1234 FORT WORTH AVE, , FORT WORTH, TX, 75000, 02/03/2014, 
DEALER, 8E4239, JDM ENTERPRISE, 7376 US HIGHWAY 69 S, , LONE OAK, TX, 75453, , 
NORECORD, BRS1234, , , , , , , , NORECORD
SPECIAL, OINKY, IAM A PIG, 11 WOODYARD APT 111, , BARNYARD, TX, 76001, , 
TXIRP, OK1AHO, SOME TRUCK LEASING LP, 4444 DENTON DR., , ACITY, TX, 75000, , 
STANDARD, OKLAHO, SOME BODY, 9999 PEACHTREE LANE, , NEW YORK, ME, 75000, 05/15/2012, 
STANDARD, PERSON, PERSON CONSTRUCTION, 625 NORTH RD, , BOSTON, TX, 75001, 11/04/2013, 
CANCELED, PLATE100, FRESH CORN, 4444 JUNCTION DR, , BLANK, TX, 75000, 02/17/2006, 
CANCELED, PLATE99, FRESH CORN, 4444 JUNCTION DR, , BLANK, TX, 75000, 02/17/2006, 
STANDARD, YELP, SOME PERSON, 410 ASTREET TR, , SOMEWHERE, TX, 75001, 02/08/2011, 
,12345TX Plate/Pattern not found
----------------
